Sample,Site,Sodium,Oxygen,Magnesium,Potassium,Calcium,Titanium,Iron,Aluminium,Silicon,Lead,Manganese,Chlorine,Silver,Gold,Barium,Strontium,Copper,Nickel,Sulfur,Phosphorus,Rhodium,Tin,Chromium,Arsenic,Zinc
EB037,Kilwa,0.543568146,-2.91e-06,2.003980176,1.057592686,7.863332077999999,0.39508852,52.71347913,6.972662137,24.64174057,0.002803143,1.075662955,0.011994891,0.0,0.0016501139999999998,0.0,0.086832668,0.00551692,0.0,0.104070403,2.52002838,0,0.0,0.0,0.0,0.0
EB038,Kilwa,0.68174811,1.7e-06,1.549988617,1.348938847,6.900413873,0.35787062299999994,53.76933948,7.71365117,23.9328823,0.0,0.900867718,0.035548432000000005,0.0,0.006241815,0.0,0.077397942,0.006707359,0.0,0.127676745,2.590725279,0,0.0,0.0,0.0,0.0
EB038,Kilwa,0.782398327,8.41e-07,1.535446541,0.995900194,6.024355711,0.359390584,56.00102447,7.639040842999999,22.95529123,0.0027188290000000003,0.9366141,0.0,0.0,0.011841863,0.007590911999999998,0.063167919,0.009201697,0.0,0.136334987,2.539680954,0,0.0,0.0,0.0,0.0
EB038,Kilwa,0.276562132,1.83e-06,2.1339677000000004,0.810088542,6.427428006,0.323198662,58.06753734,5.541441021,21.78846321,0.004062918,0.998571526,0.019089955,0.0,0.00742203,0.004057988,0.058973156,0.0008800660000000002,0.002449569,0.055657261,3.472162931,0,0.007984158,0.0,0.0,0.0
EB038,Kilwa,0.707789743,7.96e-08,1.596738444,1.123034997,6.444117387,0.363454494,56.48903671,6.838910262000001,22.6971829,0.000174069,0.920783684,0.003836435,0.0,0.008826376,0.0,0.07434371099999999,0.0,0.0,0.096712384,2.635058321,0,0.0,0.0,0.0,0.0
EB038,Kilwa,1.0675616490000002,3.19e-06,1.615882888,1.232020388,6.897301689,0.350172964,54.19084722,7.6440564260000015,23.43531681,0.014023916,0.8828577590000001,0.0,0.0,0.011235482,0.0,0.070590099,0.012199284,0.0,0.139767204,2.436163031,0,0.0,0.0,0.0,0.0
EB038,Kilwa,0.578535482,-5e-07,1.431179875,1.0835634159999998,6.4737290660000015,0.378792056,56.0519603,7.448383731,23.12894274,0.0,0.888005756,0.0,0.0,0.0027798040000000003,0.0,0.06869741,0.018529624,0.0,0.119997035,2.326904206,0,0.0,0.0,0.0,0.0
EB038,Kilwa,0.411017396,-4.38e-07,1.340765178,0.950474956,5.639095255,0.393048844,55.55943282,7.744254057000001,24.64606298,0.01299243,0.846445204,0.0,0.0,0.003445107,0.031731088,0.068230801,0.010307012,0.0,0.111201709,2.224763384,0,0.006732219,0.0,0.0,0.0
EB038,Kilwa,1.12066719,2.84e-06,1.033053748,1.434795064,7.349632056,0.396596835,53.28251391,8.008313149,23.27084727,0.006992385,0.803293588,0.003383636,0.0,0.014338447,0.023439519,0.075752771,0.007410872,0.0,0.180504692,2.988462031,0,0.0,0.0,0.0,0.0
EB038,Kilwa,0.691559128,7.909999999999998e-07,1.407298236,1.174369936,6.446415142,0.476350769,55.31153597,7.581247037000001,22.78730661,0.008236734,0.895929578,0.053446348,0.0,0.0,0.007826115,0.069688446,0.003805057,0.0,0.159615618,2.925368492,0,0.0,0.0,0.0,0.0
EB038,Kilwa,0.643778923,-2.93e-09,1.893202849,0.883254542,5.586683746,0.34198052,59.04017905,5.94925146,21.97879269,0.007949454,0.949329926,0.0,0.0,0.0017409970000000002,0.0,0.05778565400000001,0.011183947,0.0,0.097760677,2.549014841,0,0.00811072,0.0,0.0,0.0
EB040,Kilwa,0.41635744,1.53e-06,1.5783007219999998,0.99645014,5.808713322000001,0.35198210700000004,57.77024068,6.998362365,22.92638048,0.018244649,0.927100313,0.0,0.0,0.00530069,0.024234169,0.059225553,0.006342969,0.0,0.073571684,2.039191185,0,0.0,0.0,0.0,0.0
EB040,Kilwa,0.899205294,-4.41e-07,1.806853485,0.995134523,5.764633172999999,0.34779408,57.0171863,7.055915248,23.00691223,0.009878308,0.961355141,0.0,0.0,0.0,0.0005567619999999999,0.06412663,0.005231895,0.0,0.095507745,1.969709631,0,0.0,0.0,0.0,0.0
EB040,Kilwa,0.394175904,-2.04e-06,1.375345927,1.048791616,6.007129712,0.35464311200000004,57.83058793,7.323664878,22.45257463,0.0,0.928460921,0.0,0.0,0.005596135,0.00133288,0.058534958,0.004925301,0.0,0.091330814,2.122907316,0,0.0,0.0,0.0,0.0
EB040,Kilwa,0.7604291470000001,-2.33e-06,1.439971545,1.200703583,6.601357084,0.383600824,54.22583645,7.550712442999999,24.18333732,0.004050752,0.940342466,0.0,0.0,0.006110801,0.0,0.069067085,0.0,0.0,0.144363544,2.490119281,0,0.0,0.0,0.0,0.0
EB040,Kilwa,0.401281652,-2.42e-06,1.28200266,1.120224133,6.349509356,0.34303711600000003,55.85866641,7.459859493,23.83806659,0.00874159,0.910211446,0.0,0.0,0.010592815,0.019165372,0.06140959400000001,0.004335126,0.0,0.073366486,2.259532591,0,0.0,0.0,0.0,0.0
EB040,Kilwa,0.646867758,4.29e-06,1.269459021,1.079125141,6.168301802999999,0.334103247,56.35736789,7.437650572999999,23.37110612,0.009185934,0.921085921,0.0,0.0,0.011413163,0.0,0.063830677,0.004526965,0.0,0.093953563,2.2320179280000003,0,0.0,0.0,0.0,0.0
EB040,Kilwa,0.412169329,1.14e-06,1.220084107,1.300565559,7.146762844,0.32449959,55.48969834,6.886329237000001,23.63842475,0.005882804,0.8974157770000001,0.0075988409999999985,0.0,0.0,0.026141187000000003,0.069962724,0.003604558,0.0,0.060269763,2.510589446,0,0.0,0.0,0.0,0.0
EB040,Kilwa,0.4571258520000001,-2.08e-06,1.420267729,1.014952402,5.905778934,0.352875784,58.53024361,6.900179566,22.25162015,0.0013313429999999998,0.911790649,0.05829869400000001,0.0,0.001278761,0.01491308,0.056811613,0.006201111,0.0,0.109180457,2.007152339,0,0.0,0.0,0.0,0.0
EB040,Kilwa,0.187047176,-7.93e-07,1.468535677,1.105001671,6.304850022999999,0.362265791,56.25078595,7.409233435,23.36934648,0.00634773,0.936006238,0.057330108,0.0,0.011839414,0.003974557,0.062072392,0.006776396,0.0,0.154563809,2.304023952,0,0.0,0.0,0.0,0.0
EB040,Kilwa,0.344318655,1.19e-06,1.378666517,1.015222567,5.979479951,0.331514268,58.31578053,7.091112627,22.4094543,0.007520872,0.886474752,0.008729211,0.0,0.000383036,0.015741372,0.05899587200000001,0.000217534,0.0,0.082911878,2.073474868,0,0.0,0.0,0.0,0.0
